Customer ID,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
1,11.10946073,37.26895887,2.664034182,392.2049334
2,11.33027806,37.11059744,4.104543202,487.5475049
3,13.71751367,36.72128268,3.120178783,581.852344
4,12.79518855,37.5366533,4.446308318,599.406092
5,12.02692534,34.47687763,5.493507201,637.1024479
6,11.36634831,36.68377615,4.685017247,521.5721748
7,12.35195897,37.37335886,4.434273435,549.9041461
8,13.38623528,37.53449734,3.273433578,570.200409
9,11.81412829,37.14516822,3.202806072,427.1993849
10,13.33897545,37.22580613,2.482607771,492.6060127
11,11.584783,37.08792607,3.713209203,522.3374046
12,10.9612984,37.42021558,4.046423164,408.6403511
13,12.95922609,36.1446667,3.918541839,573.4158673
14,13.14872569,36.61995708,2.494543647,470.4527333
15,12.63660605,36.21376309,3.357846842,461.7807422
16,11.73386169,34.89409275,3.136132716,457.8476959
17,12.01319469,38.38513659,2.420806161,407.7045475
18,14.71538754,38.24411459,1.516575581,452.3156755
19,13.98959256,37.1905038,4.06454855,605.0610388
20,11.36549203,37.60779252,4.599937358,534.7057438
21,12.8779837,37.44102134,1.55915194,419.9387748
22,13.37856278,38.73400629,2.245147787,436.5156057
23,11.65757592,36.77260376,3.919302309,519.3409891
24,12.8936695,37.63575588,5.705153971,700.9170916
25,11.76581265,37.73852495,2.721735992,423.1799917
26,12.78389178,36.43064962,4.648199316,619.8956399
27,13.00781942,37.85177917,2.996364526,486.8389348
28,11.98204499,35.29308775,3.923488746,529.5376653
29,11.96502,37.27781174,4.74257752,554.7220838
30,12.30541781,36.16364817,3.062368145,497.5866713
31,10.86916381,35.62244242,3.471413452,447.6879065
32,13.38749211,35.69417499,4.343062915,588.7126055
33,13.10450724,38.87804051,2.820097234,491.0732237
34,11.63489325,35.36862633,4.124585297,507.4418323
35,11.9363865,38.768641,3.649286158,521.8835732
36,11.7550237,36.76572236,1.847370423,347.7769266
37,11.98441752,37.0443614,3.452388583,490.7386321
38,9.954975969,37.38831487,4.650491269,478.1703341
39,12.48901322,36.37147981,4.222436225,537.8461953
40,11.73310622,37.53429101,4.671275461,532.7517876
41,10.63456132,37.49669015,4.646119977,501.8744303
42,12.50752537,37.14286198,4.214495086,591.1971782
43,11.52987821,36.88808605,4.64325855,547.2443434
44,13.41493474,36.11243501,2.258686387,448.2298292
45,12.17052542,39.13109673,3.663105491,549.8605905
46,13.14655143,37.33544589,3.876875177,593.915003
47,12.98851015,36.46200326,4.113226123,563.6728734
48,11.86412636,36.58272777,3.202531199,479.7319491
49,11.39806419,36.5944567,3.198399272,416.3583536
50,13.85806246,37.78026469,5.976768126,725.5848141
51,10.95679097,37.26687826,2.952668958,442.6672517
52,10.32011626,37.4534051,2.094891706,384.6265716
53,9.984514397,35.9334493,3.855471685,451.4574469
54,12.64519514,38.46832111,2.87459691,522.4041413
55,11.58865542,35.25224202,3.392050489,483.673308
56,13.76153285,39.25293095,2.995761183,520.8987945
57,10.56829469,36.17312563,3.315224754,453.1695024
58,11.83228622,36.81401056,3.471919137,496.6507081
59,12.06415663,37.27122169,3.970555628,547.3651406
60,12.4955916,38.05260975,4.639320332,616.851523
61,9.607314688,36.49399255,5.081210092,507.212569
62,13.72862718,37.99702801,4.802630631,613.5993234
63,11.67006592,37.40874848,3.414688423,483.1597208
64,13.27631301,36.60077705,3.462298847,540.2634004
65,15.12699429,37.15762409,5.377593584,765.5184619
66,12.69578975,35.35844431,4.001786346,553.6015347
67,11.83547609,36.37506611,3.43959056,469.3108615
68,11.30623234,37.68040323,2.779520719,408.6201878
69,11.18753891,40.00518164,3.552649767,451.5756852
70,11.88749413,36.2650007,2.602287112,444.9665517
